"URL","Deadline","Lang"
"https://scholarships.ekmd.huji.ac.il/home/SocialSciences/SOC212-2021","14-Jan-22 10:01:04 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/SchoolofSocialWork/SSW38-2021","16-Jan-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/SchoolofSocialWork/SSW51-2021","16-Jan-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/SchoolofSocialWork/SSW52-2021","16-Jan-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/Humanities/HUM182-2021","11-Jan-22 10:00:00 PM","EN(HE)"
"https://scholarships.ekmd.huji.ac.il/home/General/GEN158-2021","06-Feb-22 10:00:00 PM","En"
"https://scholarships.ekmd.huji.ac.il/home/NaturalScience/SCI75-2021","30-Jan-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/SchoolofSocialWork/SSW54-2021","19-Jan-22 10:01:07 PM",
"https://scholarships.ekmd.huji.ac.il/home/SocialSciences/SOC215-2021","05-Mar-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/Agriculture/AGR167-2021","12-Feb-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/SocialSciences/SOC217-2021","22-Jan-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/BUS/BUS11-2019","31-Jan-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/Education/EDU127-2021","01-Sep-22 9:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/SchoolofSocialWork/SSW56-2021","01-Oct-22 9:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/Education/EDU128-2021","12-Jan-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/Education/EDU129-2021","08-Feb-22 10:00:00 PM","He"
"https://scholarships.ekmd.huji.ac.il/home/Education/EDU130-2021","30-Sep-22 9:00:00 PM","He"
